run_id,task_id,overall_success,objective_success,recovery_pass,distinct_checks_pass,confidence,verification_required,total_latency_s,llm_latency_s,tool_latency_s,tool_latency_share,tokens_prompt,tokens_completion,tokens_total,tokens_per_second,required_tools_missing,forbidden_tools_used,schema_validation_pass,assertion_pass,expected_error_observed,observed_backend_error_types,task_name,should_fail_gracefully,expected_error_types,expected_required_tools,expected_forbidden_tools,tool_calls_total,tool_overtool_calls,tool_recall,tool_precision,schema_valid_rate_required_calls,arg_assertions_total,arg_assertions_passed,arg_assertion_rate,out_assertions_total,out_assertions_passed,out_assertion_rate,error_events_total,error_events_recovered,error_recovery_rate,recovery_iterations_mean,recovery_time_s_mean
1,1,1,1,1,1,1.0,0,67.0389,61.8722,5.166,0.0771,49420,1530,50950,760.0061,,,1,1,0,missing_dataset,Zero-Shot Inference with Metadata Lookup,0,,dataset_info:1;chronos_inference_pretrained:1,,3,0,1.0,1.0,1.0,7,7,1.0,5,5,1.0,1,1,1.0,,
1,2,1,1,1,1,1.0,0,79.313,52.4077,26.9045,0.3392,50874,1365,52239,658.6437,,,1,1,0,invalid_parameter,Fine-Tuning Job Submission,0,,dataset_info:1;chronos_finetune:1,,3,0,1.0,1.0,1.0,7,7,1.0,3,3,1.0,1,1,1.0,1.0,30.0403
1,3,1,1,1,1,1.0,0,94.5807,82.8114,11.7682,0.1244,54464,2036,56500,597.3736,,,1,1,0,,Model Comparison (Fine-tuned vs. Pre-trained),0,,dataset_info:1;model_versions:1;model_details:1;chronos_inference_finetuned:1;chronos_inference_pretrained:1,,5,0,1.0,1.0,1.0,13,13,1.0,8,8,1.0,0,0,1.0,,
1,4,1,1,1,1,1.0,0,51.3948,44.6583,6.7355,0.1311,49885,1260,51145,995.1398,,,1,1,1,missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset,Error Handling: Missing Dataset (Negative Test with Filename Uncertainty),1,ResourceNotFoundError;DatasetNotFound;missing_dataset,dataset_info:3,chronos_inference_pretrained;chronos_inference_finetuned;chronos_finetune,9,0,1.0,1.0,1.0,0,0,1.0,2,2,1.0,9,0,0.0,,
1,5,1,1,1,1,1.0,0,86.602,64.752,21.8494,0.2523,38224,1427,39651,457.8531,,,1,1,0,invalid_parameter,Semantic Error Recovery: Column Mismatch During Training Submission,0,,chronos_finetune:2,,2,0,1.0,1.0,1.0,4,4,1.0,3,3,1.0,1,1,1.0,1.0,48.2831
2,1,1,1,1,1,1.0,0,48.3482,46.1173,2.2305,0.0461,37089,1396,38485,795.9965,,,1,1,0,,Zero-Shot Inference with Metadata Lookup,0,,dataset_info:1;chronos_inference_pretrained:1,,2,0,1.0,1.0,1.0,7,7,1.0,5,5,1.0,0,0,1.0,,
2,2,1,1,1,1,1.0,0,88.3866,66.3611,22.0246,0.2492,51236,1676,52912,598.6428,,,1,1,0,invalid_parameter,Fine-Tuning Job Submission,0,,dataset_info:1;chronos_finetune:1,,3,0,1.0,1.0,1.0,7,7,1.0,3,3,1.0,1,1,1.0,1.0,24.887
2,3,1,1,1,1,1.0,0,102.1144,90.6201,11.4931,0.1126,54460,2084,56544,553.732,,,1,1,0,missing_dataset,Model Comparison (Fine-tuned vs. Pre-trained),0,,dataset_info:1;model_versions:1;model_details:1;chronos_inference_finetuned:1;chronos_inference_pretrained:1,,6,0,1.0,1.0,1.0,13,13,1.0,8,8,1.0,1,1,1.0,,
2,4,1,1,1,1,1.0,0,54.0363,46.8367,7.1985,0.1332,62697,1168,63865,1181.8897,,,1,1,1,missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset,Error Handling: Missing Dataset (Negative Test with Filename Uncertainty),1,ResourceNotFoundError;DatasetNotFound;missing_dataset,dataset_info:3,chronos_inference_pretrained;chronos_inference_finetuned;chronos_finetune,10,0,1.0,1.0,1.0,0,0,1.0,2,2,1.0,10,0,0.0,,
2,5,1,1,1,1,1.0,0,84.3562,63.2748,21.0806,0.2499,38455,1659,40114,475.5309,,,1,1,0,invalid_parameter,Semantic Error Recovery: Column Mismatch During Training Submission,0,,chronos_finetune:2,,2,0,1.0,1.0,1.0,4,4,1.0,3,3,1.0,1,1,1.0,1.0,31.9888
